trip_distance,average_total_fare,number_of_trips
-4.0840124E7,2.5,1
-4.0095532E7,0.0,1
0.0,6.660781204395605,1147779
1.0,6.522376711535055,9836200
2.0,9.927064194130892,5930106
3.0,13.12653183228938,2832784
4.0,16.087792369047925,1495567
5.0,18.873442123224294,903117
6.0,21.450004523548518,574770
7.0,23.909673029084715,382297
8.0,26.209767590232804,293103
9.0,28.736239470148092,293214
10.0,31.422729576505102,261231
11.0,34.127382447681384,197444
12.0,36.94319429319086,127637
13.0,40.29834872722033,76329
14.0,43.48745533463006,55524
15.0,46.08344450891339,49981
16.0,49.660055714433895,67487
17.0,52.34306081492329,121582
18.0,52.83855944665727,135323
19.0,53.05018971775158,83756
20.0,54.34612805191073,48699
21.0,54.9048758270777,33703
22.0,56.431885571574526,17618
23.0,61.43886614817847,7329
24.0,68.32588937621833,4104
25.0,71.99170056100981,2852
26.0,73.81938486442736,2471
27.0,75.04562294311236,2127
28.0,69.81949750830564,2408
29.0,73.09538419618528,1835
30.0,80.59693989071039,1098
31.0,89.02341325811,709
32.0,97.9618035190616,682
33.0,102.20695885509839,559
34.0,101.25019823788546,454
35.0,104.68518427518428,407
36.0,109.67084745762713,413
37.0,113.76379947229552,379
38.0,111.10504716981133,212
39.0,122.90822115384616,208
40.0,122.09762711864406,177
41.0,125.69808383233534,167
42.0,130.13830985915493,142
43.0,136.6224193548387,124
44.0,150.37881818181816,110
45.0,150.7847619047619,105
46.0,136.94230769230768,78
47.0,155.96518987341773,79
48.0,171.46513157894736,76
49.0,134.4577358490566,53
50.0,154.91714285714286,56
51.0,163.2701612903226,62
52.0,157.88555555555556,63
53.0,177.68897959183673,49
54.0,167.65234042553192,47
55.0,143.33125,40
56.0,168.0157142857143,35
57.0,162.54999999999998,34
58.0,177.38500000000002,26
59.0,160.0595652173913,23
60.0,178.66904761904763,21
61.0,179.52631578947367,19
62.0,170.00357142857143,14
63.0,151.45454545454547,22
64.0,177.32142857142858,14
65.0,152.36733333333333,15
66.0,98.31375,8
67.0,201.41071428571428,14
68.0,141.53545454545454,11
69.0,190.96230769230772,13
70.0,150.304,5
71.0,126.50333333333333,3
72.0,91.21428571428571,7
73.0,197.86666666666667,6
74.0,273.444,5
75.0,209.11111111111111,9
76.0,95.64428571428572,7
77.0,128.75,2
78.0,286.8,5
79.0,122.07142857142857,7
80.0,83.47200000000001,5
81.0,241.67142857142858,7
82.0,314.5,2
83.0,148.5,2
