zone,number_of_dropoffs,average_total_fare,average_trip_distance
Homecrest,307,14.5,3.3
Corona,892,21.03,4.7
Bensonhurst West,625,13.92,3.4
Westerleigh,16,20.72,4.0
Newark Airport,1280,67.91,2.1
Douglaston,42,27.52,3.8
Charleston/Tottenville,7,82.86,15.0
East Concourse/Concourse Village,1568,12.13,3.0
Mount Hope,551,12.36,3.1
Pelham Parkway,228,15.15,3.7
Marble Hill,235,12.04,3.1
Rego Park,3179,17.32,4.4
Upper East Side South,935196,9.35,15.8
Dyker Heights,177,17.07,4.4
Heartland Village/Todt Hill,20,23.58,5.9
Kew Gardens Hills,554,14.17,3.6
Rikers Island,27,13.07,3.3
Jackson Heights,16175,12.22,96.8
Bayside,113,17.88,4.5
Yorkville West,426150,10.5,-91.7
TriBeCa/Civic Center,475010,12.46,19.8
Highbridge,573,12.53,3.1
Stuy Town/Peter Cooper Village,141796,10.79,2.4
Flushing Meadows-Corona Park,1910,37.23,8.1
Bushwick South,15108,12.15,2.9
Riverdale/North Riverdale/Fieldston,227,18.91,4.8
Windsor Terrace,1379,15.3,4.1
Old Astoria,20455,12.85,3.2
Clinton Hill,15362,11.85,2.9
West Concourse,2762,12.37,3.0
Ocean Hill,838,13.86,3.3
Stuyvesant Heights,5147,12.23,2.8
Upper West Side North,425443,10.31,2.3
Mariners Harbor,18,20.69,5.6
East Harlem South,136332,11.14,8.7
Kensington,1994,14.91,3.9
Springfield Gardens North,83,19.98,5.4
Crown Heights North,10895,13.07,3.2
Longwood,218,13.37,3.2
Hudson Sq,152798,11.72,2.6
Lenox Hill East,366755,11.55,8.9
Flushing,1674,14.69,3.3
Norwood,238,14.55,6.0
Upper East Side North,807040,9.91,8.2
UN/Turtle Bay South,348012,11.27,2.4
Prospect Park,1520,13.56,3.3
Starrett City,41,17.79,5.0
East Elmhurst,3040,21.62,6.4
Long Island City/Hunters Point,40352,13.78,67.5
New Dorp/Midland Beach,29,32.88,9.2
Whitestone,99,17.92,4.5
Union Sq,858535,10.35,4.7
Bedford Park,255,13.39,3.4
Bloomingdale,75332,11.32,2.6
Midtown East,756185,10.99,2.4
Long Island City/Queens Plaza,29783,11.59,2.7
South Jamaica,869,45.33,12.4
Downtown Brooklyn/MetroTech,31101,14.61,3.9
Glen Oaks,215,12.81,2.5
Sunset Park West,3129,15.53,4.1
Saint George/New Brighton,47,19.21,3.2
East Flatbush/Remsen Village,346,13.12,3.0
Bath Beach,167,23.63,3.8
Richmond Hill,1053,24.96,5.7
East Harlem North,82944,10.98,2.6
Washington Heights South,23291,15.26,26.2
Canarsie,292,16.81,4.4
Van Cortlandt Village,291,13.32,3.0
Sutton Place/Turtle Bay North,492052,10.42,2.2
Sheepshead Bay,214,15.63,3.7
Grymes Hill/Clifton,12,30.04,7.2
LaGuardia Airport,481304,30.22,35.0
Flatlands,342,15.16,3.6
Hunts Point,294,12.91,3.2
Jamaica Estates,208,14.05,3.5
Coney Island,97,15.43,4.1
Parkchester,309,16.67,4.6
Astoria,58248,12.16,3.0
Lower East Side,381491,12.28,41.5
Garment District,354214,10.68,2.4
Cobble Hill,18934,15.01,3.9
Erasmus,625,13.9,3.4
Madison,150,16.44,3.5
East Village,815114,11.07,3.6
Carroll Gardens,17737,14.05,3.6
