pickup_zone,dropoff_zone,number_of_dropoffs,rank
Allerton/Pelham Gardens,Allerton/Pelham Gardens,9,1
Allerton/Pelham Gardens,Williamsbridge/Olinville,5,2
Allerton/Pelham Gardens,Co-Op City,5,2
Allerton/Pelham Gardens,Woodlawn/Wakefield,3,4
Allerton/Pelham Gardens,Van Nest/Morris Park,3,4
Allerton/Pelham Gardens,Bedford Park,3,4
Allerton/Pelham Gardens,Jackson Heights,3,4
Allerton/Pelham Gardens,Eastchester,3,4
Allerton/Pelham Gardens,Schuylerville/Edgewater Park,3,4
Alphabet City,East Village,10720,1
Alphabet City,Lower East Side,5393,2
Alphabet City,Gramercy,5202,3
Alphabet City,Greenwich Village South,4263,4
Alphabet City,Greenwich Village North,3932,5
Arden Heights,Arden Heights,5,1
Arrochar/Fort Wadsworth,Arrochar/Fort Wadsworth,17,1
Arrochar/Fort Wadsworth,Crown Heights North,2,2
Arrochar/Fort Wadsworth,Bloomfield/Emerson Hill,2,2
Arrochar/Fort Wadsworth,New Dorp/Midland Beach,2,2
Arrochar/Fort Wadsworth,Bay Ridge,2,2
Arrochar/Fort Wadsworth,Stapleton,2,2
Astoria,Astoria,12743,1
Astoria,Steinway,4722,2
Astoria,Old Astoria,3331,3
Astoria,Long Island City/Queens Plaza,2889,4
Astoria,Sunnyside,2636,5
Astoria Park,Steinway,40,1
Astoria Park,Long Island City/Hunters Point,31,2
Astoria Park,Astoria Park,24,3
Astoria Park,Astoria,23,4
Astoria Park,Queensbridge/Ravenswood,21,5
Auburndale,Auburndale,69,1
Auburndale,Douglaston,6,2
Auburndale,Flushing,5,3
Auburndale,East Flushing,4,4
Auburndale,Queensboro Hill,4,4
Auburndale,Bayside,4,4
Baisley Park,Baisley Park,160,1
Baisley Park,Times Sq/Theatre District,135,2
Baisley Park,Midtown Center,82,3
Baisley Park,Midtown South,72,4
Baisley Park,Murray Hill,71,5
Bath Beach,Bath Beach,64,1
Bath Beach,Bensonhurst West,16,2
Bath Beach,Bay Ridge,14,3
Bath Beach,Coney Island,5,4
Bath Beach,Bensonhurst East,4,5
Battery Park,Times Sq/Theatre District,494,1
Battery Park,Battery Park City,411,2
Battery Park,TriBeCa/Civic Center,383,3
Battery Park,Midtown Center,252,4
Battery Park,World Trade Center,241,5
Battery Park City,TriBeCa/Civic Center,22192,1
Battery Park City,East Chelsea,9344,2
Battery Park City,Financial District North,8497,3
Battery Park City,Times Sq/Theatre District,7912,4
Battery Park City,Battery Park City,7112,5
Bay Ridge,Bay Ridge,486,1
Bay Ridge,Sunset Park West,89,2
Bay Ridge,Bensonhurst West,58,3
Bay Ridge,Dyker Heights,47,4
Bay Ridge,Park Slope,45,5
Bay Terrace/Fort Totten,Bay Terrace/Fort Totten,19,1
Bay Terrace/Fort Totten,Bayside,2,2
Bay Terrace/Fort Totten,Whitestone,2,2
Bay Terrace/Fort Totten,Astoria,1,4
Bay Terrace/Fort Totten,Fresh Meadows,1,4
Bay Terrace/Fort Totten,Upper West Side South,1,4
Bay Terrace/Fort Totten,Flushing Meadows-Corona Park,1,4
Bay Terrace/Fort Totten,Alphabet City,1,4
Bay Terrace/Fort Totten,Greenwich Village South,1,4
Bay Terrace/Fort Totten,Flushing,1,4
Bay Terrace/Fort Totten,Glen Oaks,1,4
Bay Terrace/Fort Totten,Murray Hill-Queens,1,4
Bay Terrace/Fort Totten,Maspeth,1,4
Bay Terrace/Fort Totten,Pelham Bay Park,1,4
Bay Terrace/Fort Totten,College Point,1,4
Bay Terrace/Fort Totten,West Village,1,4
Bay Terrace/Fort Totten,Garment District,1,4
Bay Terrace/Fort Totten,Yorkville West,1,4
Bay Terrace/Fort Totten,Midtown North,1,4
Bay Terrace/Fort Totten,Yorkville East,1,4
Bay Terrace/Fort Totten,Douglaston,1,4
Bayside,Bayside,49,1
Bayside,Bay Terrace/Fort Totten,8,2
Bayside,Flushing,8,2
Bayside,Douglaston,7,4
Bayside,Jackson Heights,5,5
Bedford,Bedford,1439,1
Bedford,Crown Heights North,977,2
Bedford,Stuyvesant Heights,840,3
Bedford,Clinton Hill,749,4
Bedford,Williamsburg (South Side),630,5
Bedford Park,Bedford Park,30,1
Bedford Park,Belmont,15,2
Bedford Park,Fordham South,14,3
Bedford Park,Norwood,14,3
Bedford Park,Van Cortlandt Village,14,3
Bellerose,Bellerose,106,1
Bellerose,Glen Oaks,16,2
Bellerose,Queens Village,12,3
Bellerose,Rosedale,12,3
Bellerose,JFK Airport,8,5
Bellerose,Springfield Gardens South,8,5
Bellerose,Two Bridges/Seward Park,8,5
Belmont,Belmont,25,1
Belmont,Pelham Parkway,10,2
Belmont,Fordham South,9,3
Belmont,Van Cortlandt Village,7,4
Belmont,Kingsbridge Heights,7,4
Bensonhurst East,Bensonhurst East,45,1
Bensonhurst East,Bensonhurst West,10,2
Bensonhurst East,Homecrest,9,3
Bensonhurst East,Sheepshead Bay,7,4
Bensonhurst East,Bay Ridge,7,4
Bensonhurst West,Bensonhurst West,398,1
Bensonhurst West,Bay Ridge,19,2
Bensonhurst West,Flatlands,17,3
Bensonhurst West,Bensonhurst East,14,4
Bensonhurst West,Bath Beach,12,5
Bloomfield/Emerson Hill,Bloomfield/Emerson Hill,23,1
Bloomfield/Emerson Hill,Rossville/Woodrow,2,2
Bloomfield/Emerson Hill,Flatbush/Ditmas Park,1,3
Bloomfield/Emerson Hill,East Chelsea,1,3
Bloomfield/Emerson Hill,Newark Airport,1,3
Bloomfield/Emerson Hill,Lincoln Square West,1,3
Bloomfield/Emerson Hill,Downtown Brooklyn/MetroTech,1,3
Bloomfield/Emerson Hill,South Ozone Park,1,3
Bloomingdale,Upper West Side North,9314,1
Bloomingdale,Upper West Side South,7320,2
Bloomingdale,Morningside Heights,5321,3
Bloomingdale,Lincoln Square East,4048,4
Bloomingdale,Manhattan Valley,3905,5
Boerum Hill,Boerum Hill,2685,1
Boerum Hill,Park Slope,2084,2
Boerum Hill,Brooklyn Heights,1602,3
Boerum Hill,Crown Heights North,1206,4
Boerum Hill,Clinton Hill,1088,5
Borough Park,Borough Park,291,1
Borough Park,Kensington,20,2
Borough Park,Flatbush/Ditmas Park,17,3
Borough Park,Bensonhurst West,16,4
Borough Park,Park Slope,14,5
Borough Park,Sunset Park East,14,5
Breezy Point/Fort Tilden/Riis Beach,Breezy Point/Fort Tilden/Riis Beach,7,1
Breezy Point/Fort Tilden/Riis Beach,Rockaway Park,1,2
Briarwood/Jamaica Hills,Briarwood/Jamaica Hills,407,1
Briarwood/Jamaica Hills,JFK Airport,116,2
Briarwood/Jamaica Hills,Jamaica,107,3
Briarwood/Jamaica Hills,Forest Hills,62,4
Briarwood/Jamaica Hills,Times Sq/Theatre District,42,5
Brighton Beach,Brighton Beach,61,1
Brighton Beach,Sheepshead Bay,12,2
Brighton Beach,Coney Island,11,3
Brighton Beach,Manhattan Beach,7,4
Brighton Beach,Midwood,6,5
Brighton Beach,Homecrest,6,5
Broad Channel,South Ozone Park,1,1
Broad Channel,Hammels/Arverne,1,1
Broad Channel,Howard Beach,1,1
Bronx Park,Bronx Park,13,1
Bronx Park,East Tremont,3,2
Bronx Park,Washington Heights South,2,3
Bronx Park,Crotona Park East,2,3
Bronx Park,Williamsbridge/Olinville,2,3
Bronx Park,Norwood,2,3
Bronx Park,Bronxdale,2,3
Bronx Park,Van Nest/Morris Park,2,3
Bronx Park,Jackson Heights,2,3
Bronxdale,Bronxdale,18,1
Bronxdale,Pelham Parkway,6,2
Bronxdale,Belmont,6,2
Bronxdale,Allerton/Pelham Gardens,5,4
Bronxdale,Eastchester,4,5
Bronxdale,Williamsbridge/Olinville,4,5
Bronxdale,Norwood,4,5
Bronxdale,Parkchester,4,5
Bronxdale,Bronx Park,4,5
Bronxdale,Bedford Park,4,5
Brooklyn Heights,Brooklyn Heights,1929,1
Brooklyn Heights,TriBeCa/Civic Center,1374,2
Brooklyn Heights,Park Slope,1215,3
Brooklyn Heights,DUMBO/Vinegar Hill,1094,4
Brooklyn Heights,Boerum Hill,1083,5
Brooklyn Navy Yard,Downtown Brooklyn/MetroTech,79,1
Brooklyn Navy Yard,Brooklyn Navy Yard,60,2
Brooklyn Navy Yard,DUMBO/Vinegar Hill,58,3
Brooklyn Navy Yard,Fort Greene,40,4
Brooklyn Navy Yard,Williamsburg (North Side),29,5
Brownsville,Brownsville,41,1
Brownsville,Crown Heights North,27,2
Brownsville,East New York,20,3
Brownsville,East Flatbush/Remsen Village,16,4
Brownsville,Ocean Hill,14,5
Bushwick North,Bushwick South,1091,1
